# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,sdss_g,sdss_r
8.400000000000000355e+00,1.589516315207713511e-10,3.166171210970776528e-02,4.065186010841396330e-02,5.750920444062217030e+00,5.838186075197526748e+00
8.449999999999999289e+00,1.582571798418554281e-10,3.518936737771127810e-02,4.551302186082554352e-02,5.711302155059236441e+00,5.793644431170498876e+00
8.500000000000000000e+00,1.574816035209814429e-10,3.909723498227620636e-02,5.094205610694332170e-02,5.672602317073447864e+00,5.749513147063034069e+00
8.550000000000000711e+00,1.566159165299505453e-10,4.342696889709923846e-02,5.700186504415964694e-02,5.635058449676350278e+00,5.706000263111278059e+00
8.599999999999999645e+00,1.556502636283210717e-10,4.822535306576362230e-02,6.376143535556588748e-02,5.598890268083792421e+00,5.663215158257081328e+00
8.650000000000000355e+00,1.545738694993241580e-10,5.353458814519343467e-02,7.129619425854423487e-02,5.564280845281956545e+00,5.621336023383484815e+00
8.699999999999999289e+00,1.533749945220606294e-10,5.940335360165049927e-02,7.968831909938894897e-02,5.531367610916639421e+00,5.580381267766675535e+00
8.750000000000000000e+00,1.520409007483401173e-10,6.588137979330192795e-02,8.902697551543262144e-02,5.500401191066814022e+00,5.540495134299888491e+00
8.800000000000000711e+00,1.505578325859577213e-10,7.302361717791591711e-02,9.940845265210931925e-02,5.471668397656820559e+00,5.502006786825333506e+00
8.849999999999999645e+00,1.489110177870323595e-10,8.089065030687668523e-02,1.109361562445868726e-01,5.445348468318613300e+00,5.465048329037919927e+00
8.900000000000000355e+00,1.470846956055734725e-10,8.954323745262142420e-02,1.237204115147990668e-01,5.421548448457571112e+00,5.429492978614931076e+00
8.949999999999999289e+00,1.450621804164026745e-10,9.903752148378790199e-02,1.378780178389946709e-01,5.400354652571522251e+00,5.395420629574616100e+00
9.000000000000000000e+00,1.428259706534081892e-10,1.094362304621523119e-01,1.535314861799561004e-01,5.381885399021342664e+00,5.363064526343805483e+00
9.050000000000000711e+00,1.403579145772074505e-10,1.208127401094770542e-01,1.708078787133613385e-01,5.366229397392707767e+00,5.332454000233624924e+00
9.099999999999999645e+00,1.376394460302731101e-10,1.332249328545135891e-01,1.898371585419016405e-01,5.352913584805889968e+00,5.302203988585333150e+00
9.150000000000000355e+00,1.346519048379071374e-10,1.467259482730795261e-01,2.107499468884632965e-01,5.341245670916535460e+00,5.270695895994023772e+00
9.199999999999999289e+00,1.313769576520778610e-10,1.612858472970627455e-01,2.336745771892683454e-01,5.333820805954132993e+00,5.243474968673744740e+00
9.250000000000000000e+00,1.277971355081130568e-10,1.769401314109627643e-01,2.587333321970219924e-01,5.332275159095402728e+00,5.223897827201092525e+00
9.300000000000000711e+00,1.238965037580343467e-10,1.938114278059487328e-01,2.860377544475729561e-01,5.335245642451127424e+00,5.209213059999278528e+00
9.349999999999999645e+00,1.196614778192087077e-10,2.119278609004909553e-01,3.156829360193523781e-01,5.342685508494575686e+00,5.199007618389529739e+00
9.400000000000000355e+00,1.150817936597336522e-10,2.313072911265771914e-01,3.477407251356777751e-01,5.354643993999324891e+00,5.193009537127082353e+00
9.449999999999999289e+00,1.101516343364705407e-10,2.519420923470368501e-01,3.822518403985196156e-01,5.371594450806831844e+00,5.191652410748247348e+00
9.500000000000000000e+00,1.048709023314343782e-10,2.737885408019545275e-01,4.192169644337727097e-01,5.393975784435149023e+00,5.195252824879418085e+00
9.550000000000000711e+00,9.924661103228348434e-11,2.967779838675418946e-01,4.585870035278291068e-01,5.422072013493988152e+00,5.204021293393743974e+00
9.599999999999999645e+00,9.329434678206308962e-11,3.208122330800156630e-01,5.002528532793717453e-01,5.456429849787660658e+00,5.218626622870857545e+00
9.650000000000000355e+00,8.703972522223917768e-11,3.457398810889915075e-01,5.440352041981391107e-01,5.497280637928227520e+00,5.239325165883307989e+00
9.699999999999999289e+00,8.051973271038166053e-11,3.713702352908037629e-01,5.896751517811417154e-01,5.545044016666828668e+00,5.266222988320876652e+00
9.750000000000000000e+00,7.378380722790952948e-11,3.974672455388789105e-01,6.368266301584466493e-01,5.600838804485178457e+00,5.300204940565606648e+00
9.800000000000000711e+00,6.689447706043365461e-11,4.237429412510818061e-01,6.850519413307779582e-01,5.666332647946823897e+00,5.343758990326357150e+00
9.849999999999999645e+00,5.992734567090718811e-11,4.498847734486389194e-01,7.338218610574631651e-01,5.742356921477693277e+00,5.397600732039833815e+00
9.900000000000000355e+00,5.297019635784614832e-11,4.755377091298605419e-01,7.825219062488903976e-01,5.828933854638009393e+00,5.460667317782721852e+00
9.949999999999999289e+00,4.612100184065209625e-11,5.002973513340941425e-01,8.304662678692488198e-01,5.926911978112570978e+00,5.533429801265043579e+00
1.000000000000000000e+01,3.948467472495945393e-11,5.237434879749784944e-01,8.769205576790973788e-01,6.037078045548916805e+00,5.616296793370345597e+00
1.005000000000000071e+01,3.316849691702878772e-11,5.454620978993994784e-01,9.211338023346118398e-01,6.160229243984019831e+00,5.709821883183920477e+00
1.009999999999999964e+01,2.727632662925943735e-11,5.650711870432036932e-01,9.623789943489974297e-01,6.297058229023974718e+00,5.814356432661483609e+00
1.015000000000000036e+01,2.190189725054477097e-11,5.822480206335123309e-01,1.000000000000000000e+00,6.447971055876621449e+00,5.929943331729880640e+00
