# log_age,stellar_mass,formed_mass,SDSS_g,SDSS_r
7.700000000000000178e+00,2.135010864675295633e-02,2.476919643838264642e-02,5.178149022452004147e+00,5.325831786483355756e+00
7.750000000000000000e+00,2.374948230877471297e-02,2.774922686942456543e-02,5.131406698841189495e+00,5.275575997963969144e+00
7.799999999999999822e+00,2.641340901772973662e-02,3.108204627786259264e-02,5.085276273567302496e+00,5.225498495118642950e+00
7.849999999999999645e+00,2.936944069173549193e-02,3.480794423509981500e-02,5.040378340263202972e+00,5.175970293411232603e+00
7.900000000000000355e+00,3.264760912125149600e-02,3.897143158095797005e-02,4.996935654473567467e+00,5.127741684853447168e+00
7.950000000000000178e+00,3.628141669722419194e-02,4.362158333548878802e-02,4.954622255926970809e+00,5.080643543030795684e+00
8.000000000000000000e+00,4.030758132722365994e-02,4.881238198824811719e-02,4.912841669119735855e+00,5.033944533431316870e+00
8.050000000000000711e+00,4.476511225612554712e-02,5.460305171268441810e-02,4.871743981903129850e+00,4.987906928493181624e+00
8.099999999999999645e+00,4.969604670017247622e-02,6.105837092468650168e-02,4.831580179317377599e+00,4.943010217231723402e+00
8.150000000000000355e+00,5.514144065048538768e-02,6.824894676731493859e-02,4.792447141182798021e+00,4.899379001191036309e+00
8.199999999999999289e+00,6.114392634425777628e-02,7.625143045511610651e-02,4.754444616934947021e+00,4.857087045587299201e+00
8.250000000000000000e+00,6.775399093998817068e-02,8.514864685456335902e-02,4.717690425086168204e+00,4.816179564820131986e+00
8.300000000000000711e+00,7.503477624114339439e-02,9.502960513474779936e-02,4.682160595437309780e+00,4.776473816129019667e+00
8.349999999999999645e+00,8.305316037521964789e-02,1.059893497559972475e-01,4.647993501283281148e+00,4.738051161610627560e+00
8.400000000000000355e+00,9.187015258450814681e-02,1.181286025015621799e-01,4.615370544759109350e+00,4.700829441440539824e+00
8.449999999999999289e+00,1.015470717203761503e-01,1.315531368322292449e-01,4.584465579362323240e+00,4.664742623343137495e+00
8.500000000000000000e+00,1.121333855114817063e-01,1.463728158465778528e-01,4.555550450464686207e+00,4.630067122368096477e+00
8.550000000000000711e+00,1.236997209715431506e-01,1.627002150772672850e-01,4.529007376745170177e+00,4.597140004613649467e+00
8.599999999999999645e+00,1.363199968691046482e-01,1.806487420747679984e-01,4.505218738736942896e+00,4.566207246531078567e+00
8.650000000000000355e+00,1.500399846781350077e-01,2.003301574676925045e-01,4.484547303731602597e+00,4.537605618926733086e+00
8.699999999999999289e+00,1.649083475294347845e-01,2.218513987186257197e-01,4.467327176462511318e+00,4.511510763158035786e+00
8.750000000000000000e+00,1.809573056962223703e-01,2.453106105434139650e-01,4.454045399811171535e+00,4.488256458131033355e+00
8.800000000000000711e+00,1.982123307752093055e-01,2.707922981138207730e-01,4.445261433557462283e+00,4.468409104163654888e+00
8.849999999999999645e+00,2.166898062227294586e-01,2.983615447127357934e-01,4.441443337157778615e+00,4.452332368888932024e+00
8.900000000000000355e+00,2.363771538963697905e-01,3.280572792137926852e-01,4.443004746530675675e+00,4.440099799899300592e+00
8.949999999999999289e+00,2.572153642238390603e-01,3.598846459018764099e-01,4.450363087628986136e+00,4.432044450257592416e+00
9.000000000000000000e+00,2.791308801877676049e-01,3.938066250428417514e-01,4.464004268526437613e+00,4.428702858859082880e+00
9.050000000000000711e+00,3.020445180230749704e-01,4.297351816410637793e-01,4.484402856542168081e+00,4.430371544612668799e+00
9.099999999999999645e+00,3.257915857259451875e-01,4.675223839850567442e-01,4.511282433580873885e+00,4.435444414436432226e+00
9.150000000000000355e+00,3.501577498946294997e-01,5.069521303158064374e-01,4.543996232691782211e+00,4.441851923520204082e+00
9.199999999999999289e+00,3.746493899924647208e-01,5.477333413078826485e-01,4.586665033011875892e+00,4.457587848866708669e+00
9.250000000000000000e+00,3.989666848449796022e-01,5.894956973257431398e-01,4.642251463652279142e+00,4.487901006270249127e+00
9.300000000000000711e+00,4.230495237600908620e-01,6.317891877934809219e-01,4.709230470728492435e+00,4.529239405935790330e+00
9.349999999999999645e+00,4.465502400097045577e-01,6.740888442553335524e-01,4.787948808072783891e+00,4.581280922525905908e+00
9.400000000000000355e+00,4.691151600782982878e-01,7.158059815587666241e-01,4.878795951608140058e+00,4.643764024834347026e+00
9.449999999999999289e+00,4.903664011747985718e-01,7.563069953362524522e-01,4.982813276595464913e+00,4.717474384759036354e+00
9.500000000000000000e+00,5.099054961589156720e-01,7.949401837482494848e-01,5.100826808367848741e+00,4.802814533632215444e+00
9.550000000000000711e+00,5.273880988729124919e-01,8.310701286759525352e-01,5.233058478684760928e+00,4.899721507825113065e+00
9.599999999999999645e+00,5.425452620482887900e-01,8.641178972330780805e-01,5.379938183892008396e+00,5.008795804304938315e+00
9.650000000000000355e+00,5.551533233792145250e-01,8.936038180097425343e-01,5.540400073615863619e+00,5.129199115797000275e+00
9.699999999999999289e+00,5.651114093339379973e-01,9.191880881394056679e-01,5.713088049016164405e+00,5.259110590133538210e+00
9.750000000000000000e+00,5.724394608910957638e-01,9.407033544415351889e-01,5.897960926889830091e+00,5.398172650046760168e+00
9.800000000000000711e+00,5.772660658209980422e-01,9.581731536910276237e-01,6.096562666461892377e+00,5.550901694943874531e+00
9.849999999999999645e+00,5.798875590405087044e-01,9.718111370089899115e-01,6.305843714384643306e+00,5.714895761356615367e+00
9.900000000000000355e+00,5.806593227479869279e-01,9.819985713390858573e-01,6.517876572308594518e+00,5.880822049975783727e+00
9.949999999999999289e+00,5.799281530979145671e-01,9.892415095678240844e-01,6.727437140655723624e+00,6.044448819841825582e+00
1.000000000000000000e+01,5.780558748999261587e-01,9.941134843943352228e-01,6.929231863835731531e+00,6.202021892948017978e+00
1.005000000000000071e+01,5.753898166212538801e-01,9.971933376437630558e-01,7.119311186578130446e+00,6.351580943626572662e+00
1.009999999999999964e+01,5.722341988811767699e-01,9.990094269486805567e-01,7.295964944308238387e+00,6.492344422662625902e+00
1.015000000000000036e+01,5.688320823509274149e-01,1.000000000000000000e+00,7.458883845831479675e+00,6.624098362256290784e+00
