# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
6.250000000000000000e+00,1.280777509936680119e-13,1.134227835495161744e-07,1.138958913741216328e-07,1.750462918503745158e+01,1.784860239882394239e+01,1.834739034061745144e+01
6.299999999999999822e+00,1.436978049971706715e-13,1.427266107150988501e-07,1.433812468171990945e-07,1.724020737897168232e+01,1.758445268756860713e+01,1.808316044854279880e+01
6.349999999999999645e+00,1.612217760348972142e-13,1.795870956922311968e-07,1.804989713518959547e-07,1.697118328745560234e+01,1.731566973696525480e+01,1.781414451995473058e+01
6.400000000000000355e+00,1.808814548907913630e-13,2.259433104008214301e-07,2.272243970662723420e-07,1.669619337272968096e+01,1.704079833951431766e+01,1.753872762903305471e+01
6.450000000000000178e+00,2.029367799795099534e-13,2.842259561270934219e-07,2.860439562765466119e-07,1.641488846940125512e+01,1.675936862297686503e+01,1.725626008170102210e+01
6.500000000000000000e+00,2.276792369297953427e-13,3.574820166794985153e-07,3.600873673911399311e-07,1.612562894503361122e+01,1.646932540098328701e+01,1.696453440783902522e+01
6.549999999999999822e+00,2.554356639474136417e-13,4.495281838723918455e-07,4.532939873383854420e-07,1.583138159946447843e+01,1.617220279188993004e+01,1.666471281130516502e+01
6.599999999999999645e+00,2.865725101382915068e-13,5.651352357188470209e-07,5.706221474640518340e-07,1.553800771000338443e+01,1.587124845720751409e+01,1.635890417147045639e+01
6.650000000000000355e+00,3.215005991283523068e-13,7.102367846570175363e-07,7.183125695835188066e-07,1.524736083690440580e+01,1.556829458534390653e+01,1.604978888548116345e+01
6.700000000000000178e+00,3.606804559470560006e-13,8.923291259629026070e-07,9.042198131184389656e-07,1.496442372590853154e+01,1.526995248954632700e+01,1.574441779863991542e+01
6.750000000000000000e+00,4.046282612651870840e-13,1.120819482091447663e-06,1.138229295272188352e-06,1.469210782706054630e+01,1.498227232009968191e+01,1.544896461293353696e+01
6.799999999999999822e+00,4.539225037045393570e-13,1.407362575196953101e-06,1.432781942252448640e-06,1.442909140954145641e+01,1.470145540292453745e+01,1.515710021155901899e+01
6.849999999999999645e+00,5.092114080672182769e-13,1.766458463655582894e-06,1.803534195253673901e-06,1.417462310872220144e+01,1.442493169785147700e+01,1.486515408777701452e+01
6.900000000000000355e+00,5.712212249487692916e-13,2.216232617407113367e-06,2.270188216310434943e-06,1.392957998491239380e+01,1.415327760300698401e+01,1.457333740549560019e+01
6.950000000000000178e+00,6.407654752641950638e-13,2.779301459541313462e-06,2.857536078748740667e-06,1.369535053975592120e+01,1.389268954780040843e+01,1.428731954293712647e+01
7.000000000000000000e+00,7.187552516619592742e-13,3.483891608949591968e-06,3.596772944598398838e-06,1.347170944885753130e+01,1.364693432126995987e+01,1.401558645611350329e+01
7.049999999999999822e+00,8.062106875223025219e-13,4.365263170153525111e-06,4.527148310855107230e-06,1.325698723685263758e+01,1.341359899328547556e+01,1.375800726200215252e+01
7.099999999999999645e+00,9.042737130759974710e-13,5.467436198786337709e-06,5.698042056500261472e-06,1.304968333103961697e+01,1.318971741187949931e+01,1.351219976028814784e+01
7.150000000000000355e+00,1.014222226914868558e-12,6.845334749201214451e-06,7.171574150527607202e-06,1.284875460524605018e+01,1.297347820708451849e+01,1.327667546212752825e+01
7.200000000000000178e+00,1.137485819487336643e-12,8.567548354236473378e-06,9.025884607870012121e-06,1.265343274165304877e+01,1.276406709714125043e+01,1.305038191865007491e+01
7.250000000000000000e+00,1.275663192662147700e-12,1.071975325061566323e-05,1.135925498455083738e-05,1.246310287158752317e+01,1.256081391278218007e+01,1.283208741721036006e+01
7.299999999999999822e+00,1.430541425541810264e-12,1.340885485577342313e-05,1.429528613639824933e-05,1.227724699305058920e+01,1.236315889093499720e+01,1.262091917806516506e+01
