# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,sdss_g,sdss_r
7.099999999999999645e+00,4.282785225826089122e-13,2.588328046025535657e-06,2.697470436581094586e-06,1.400163075533514245e+01,1.432416457640246676e+01
7.150000000000000355e+00,4.804309657424772727e-13,3.240999393133538336e-06,3.395417382605589890e-06,1.378524497585241448e+01,1.408850050776868557e+01
7.200000000000000178e+00,5.389196991667335902e-13,4.056910789953416188e-06,4.273875744926021270e-06,1.357566730256674248e+01,1.386204643127460656e+01
7.250000000000000000e+00,6.045108189797021432e-13,5.076740966188505257e-06,5.379500107250702674e-06,1.337222512587305800e+01,1.364356864377232625e+01
7.299999999999999822e+00,6.780620794559843236e-13,6.351272184936690084e-06,6.770990329854512267e-06,1.317435588831678217e+01,1.343219177628810002e+01
7.349999999999999645e+00,7.605336079974467648e-13,7.943939839512843370e-06,8.522196054810524761e-06,1.298131356166882711e+01,1.322708706878725593e+01
7.400000000000000355e+00,8.529998069863946016e-13,9.934024598531665390e-06,1.072601915067082606e-05,1.279224575786173546e+01,1.302712501103580678e+01
7.450000000000000178e+00,9.566625564883057124e-13,1.242050311125119681e-05,1.349931828154669307e-05,1.260645833666989546e+01,1.283135702716653270e+01
7.500000000000000000e+00,1.072865837847348883e-12,1.552690082360940851e-05,1.698907165713788817e-05,1.242345636375794271e+01,1.263915744222138926e+01
7.549999999999999822e+00,1.203111903060599565e-12,1.940745895770802233e-05,2.138011891699372305e-05,1.224285492281143206e+01,1.245019221686112587e+01
7.599999999999999645e+00,1.349079117798515143e-12,2.425505289313301655e-05,2.690488423171945260e-05,1.206407723190088177e+01,1.226376578068808954e+01
7.650000000000000355e+00,1.512641606232988901e-12,3.031054056619804872e-05,3.385558402359872192e-05,1.188659947660462990e+01,1.207922507984808647e+01
7.700000000000000178e+00,1.695890822371862238e-12,3.787450349760062424e-05,4.259954913459945610e-05,1.171001992423001070e+01,1.189610025077716671e+01
7.750000000000000000e+00,1.901159164009866212e-12,4.732193923432973198e-05,5.359844882327202947e-05,1.153404977948055432e+01,1.171406408783943220e+01
7.799999999999999822e+00,2.131045729944850409e-12,5.912064172535088074e-05,6.743240007075916901e-05,1.135857953257312403e+01,1.153291588403070733e+01
7.849999999999999645e+00,2.388444296566394610e-12,7.385394585507687785e-05,8.483018939158093572e-05,1.118367120560100147e+01,1.135255645505679922e+01
7.900000000000000355e+00,2.676573553523225371e-12,9.224896024170475578e-05,1.067071367178237687e-04,1.100940633507943289e+01,1.117296886052460536e+01
7.950000000000000178e+00,2.999009586444715373e-12,1.152118119024697938e-04,1.342125053622831167e-04,1.083587623828582025e+01,1.099422860778658162e+01
8.000000000000000000e+00,3.359720523318518768e-12,1.438719491418715486e-04,1.687888247111765314e-04,1.066304525955661120e+01,1.081626652386700016e+01
8.050000000000000711e+00,3.763103164791237990e-12,1.796361831639061335e-04,2.122460624927313677e-04,1.049086755405360805e+01,1.063901200679786996e+01
8.099999999999999645e+00,4.214021290846717210e-12,2.242555951239787431e-04,2.668542841688841330e-04,1.031932690351486315e+01,1.046245296693526683e+01
8.150000000000000355e+00,4.717845169108074263e-12,2.799072044707745966e-04,3.354592951655818917e-04,1.014843969102093979e+01,1.028663795394317049e+01
8.199999999999999289e+00,5.280491573866132028e-12,3.492902469690083796e-04,4.216268086101368886e-04,9.978215895442446026e+00,1.011159059272704752e+01
8.250000000000000000e+00,5.908463348489931268e-12,4.357533625758251987e-04,5.298219526520354722e-04,9.808688106132905205e+00,9.937361599596329143e+00
8.300000000000000711e+00,6.608887193731497811e-12,5.434567280496018296e-04,6.656324672091458146e-04,9.639874738448362734e+00,9.763954722416052334e+00
8.349999999999999645e+00,7.389547925068423109e-12,6.775802228081750141e-04,8.360457833178068813e-04,9.471797177344136287e+00,9.591372419359601054e+00
8.400000000000000355e+00,8.258916895947959581e-12,8.445538966605848144e-04,1.049792374046654890e-03,9.304488861028445967e+00,9.419608362466910023e+00
8.449999999999999289e+00,9.226171610967061232e-12,1.052345387817185153e-03,1.317770357711108573e-03,9.137997412100972383e+00,9.248637914210448230e+00
8.500000000000000000e+00,1.030120273255406026e-11,1.310803103935572313e-03,1.653569359099496365e-03,8.972381825154045032e+00,9.078443384205598932e+00
8.550000000000000711e+00,1.149460369504806754e-11,1.632072280170167918e-03,2.074115115814011666e-03,8.807732234456736364e+00,8.909057078085453441e+00
8.599999999999999645e+00,1.281763696087315521e-11,2.031203430998106216e-03,2.600460252285853851e-03,8.644164951107740080e+00,8.740529058087943781e+00
8.650000000000000355e+00,1.428216956835002614e-11,2.526728202294472626e-03,3.258750988715905083e-03,8.481819639375231645e+00,8.572937559395491292e+00
8.699999999999999289e+00,1.590056902117273165e-11,3.141425747120341495e-03,4.081404194933333646e-03,8.320846397183977672e+00,8.406374107376770155e+00
8.750000000000000000e+00,1.768554876130412422e-11,3.903239648518490833e-03,5.108533929027641446e-03,8.161411187335716022e+00,8.240932480067733934e+00
8.800000000000000711e+00,1.964995047814032593e-11,4.846342833544303903e-03,6.389671061907462209e-03,8.003710604077504343e+00,8.076747342079471537e+00
8.849999999999999645e+00,2.180644839971953582e-11,6.012485579561710827e-03,7.985823221328784693e-03,7.847959624944820689e+00,7.913984255081189190e+00
