# log_age,stellar_mass,formed_mass,SDSS_u,SDSS_g,SDSS_r
6.700000000000000178e+00,1.041669772412710891e-03,1.065033203686478660e-03,7.172411562543132391e+00,7.419479544625367851e+00,7.867863670325434100e+00
6.750000000000000000e+00,1.164802017468704806e-03,1.194913845828840700e-03,7.065839794716076483e+00,7.292452872605821312e+00,7.725077670513499584e+00
6.799999999999999822e+00,1.301571179686711972e-03,1.340623413219067459e-03,6.963306764273873739e+00,7.156220504451859199e+00,7.561587225054104522e+00
6.849999999999999645e+00,1.453510143111259910e-03,1.504088433863733131e-03,6.871097256143002596e+00,7.018934373709271313e+00,7.391960722187704391e+00
6.900000000000000355e+00,1.622383902593802461e-03,1.687469242173534733e-03,6.796272376549140404e+00,6.902563493276559825e+00,7.232070109200520847e+00
6.950000000000000178e+00,1.810036510138238186e-03,1.893188180530116105e-03,6.737923661404266795e+00,6.825149811259706212e+00,7.112278685559935809e+00
7.000000000000000000e+00,2.018629806263359111e-03,2.123961157492367836e-03,6.686781262327315289e+00,6.766848993698296511e+00,7.026509558103583686e+00
7.049999999999999822e+00,2.250590201615479315e-03,2.382832950436328690e-03,6.637605023293097872e+00,6.708264704550401802e+00,6.947930432664158218e+00
7.099999999999999645e+00,2.508520647518675591e-03,2.673216682141987387e-03,6.590743682284283977e+00,6.649495109789540948e+00,6.874857475217538649e+00
7.150000000000000355e+00,2.795352864629784082e-03,2.998937946216239173e-03,6.546616633912606176e+00,6.593781234784117373e+00,6.808994516246499984e+00
7.200000000000000178e+00,3.114482692823724187e-03,3.364284105349388872e-03,6.505175281839086665e+00,6.542538198617322109e+00,6.748536501223355799e+00
7.250000000000000000e+00,3.469585454188085435e-03,3.774059339261702679e-03,6.466338203040812971e+00,6.495218965179525128e+00,6.692101569525114257e+00
7.299999999999999822e+00,3.864695052764332856e-03,4.233646075660338869e-03,6.429398131587277021e+00,6.450919201048989748e+00,6.640132767223306587e+00
7.349999999999999645e+00,4.304493305183119609e-03,4.749073497361273183e-03,6.393424853997167645e+00,6.407400977888947580e+00,6.590133052988761619e+00
7.400000000000000355e+00,4.794096554917005870e-03,5.327093881421851064e-03,6.358320252225695413e+00,6.363766197182911810e+00,6.540052904614164220e+00
