# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
6.049999999999999822e+00,9.988793434970540268e-10,1.116951738695734280e-03,1.121390049544182012e-03,7.532360400044161963e+00,7.876029212890401254e+00,8.374707936271008180e+00
6.099999999999999645e+00,9.987425993260618420e-10,1.252677754861470424e-03,1.258134220536421535e-03,7.395902348296971240e+00,7.739836707444368358e+00,8.238507939477784703e+00
6.150000000000000355e+00,9.985891921281378878e-10,1.404825775464055770e-03,1.411541418460576401e-03,7.256770794728439000e+00,7.601047702372000003e+00,8.099762627903906775e+00
6.200000000000000178e+00,9.984170944724315837e-10,1.575342275023853709e-03,1.583639074166699225e-03,7.114421759664395495e+00,7.459095488507244909e+00,7.957844657439324010e+00
6.250000000000000000e+00,9.982240330352789300e-10,1.766379041747430378e-03,1.776700511319470252e-03,6.967801461163169563e+00,7.312873198130994012e+00,7.811497256797942157e+00
6.299999999999999822e+00,9.980074589821031849e-10,1.980314542160672639e-03,1.993274564495138308e-03,6.813258052692262368e+00,7.158606393124003375e+00,7.656766603426270024e+00
6.349999999999999645e+00,9.977645148348441135e-10,2.219759510728638603e-03,2.236218711754197567e-03,6.646979165712750159e+00,6.992240381540980820e+00,7.489274096908019374e+00
6.400000000000000355e+00,9.974919974217070360e-10,2.487540564395063995e-03,2.508736124891342185e-03,6.473568666944203187e+00,6.818301902131722159e+00,7.313274025008077217e+00
6.450000000000000178e+00,9.971863164634286773e-10,2.786822937532425822e-03,2.814417083169758454e-03,6.288782382604622967e+00,6.631978217382801688e+00,7.123724834552852769e+00
6.500000000000000000e+00,9.968434483041171065e-10,3.121103884289342777e-03,3.157285242481259156e-03,6.096522917228597294e+00,6.435070323025662731e+00,6.922965099749283979e+00
6.549999999999999822e+00,9.964588842450843531e-10,3.494313435482218188e-03,3.541849301513895574e-03,5.921523729624915688e+00,6.244037213624565652e+00,6.722904544429574969e+00
6.599999999999999645e+00,9.960275728870314125e-10,3.909674149899107151e-03,3.973160659566913992e-03,5.759800782353096338e+00,6.056324307664986861e+00,6.523950807060693080e+00
6.650000000000000355e+00,9.955438558297291205e-10,4.372281429544371857e-03,4.456877716869147091e-03,5.612811857572630458e+00,5.880432158168261481e+00,6.338035875401288877e+00
6.700000000000000178e+00,9.950013960194121002e-10,4.889579947712149009e-03,4.999337527186125882e-03,5.493320922656295124e+00,5.740286211513470960e+00,6.188626281345989355e+00
6.750000000000000000e+00,9.943930979731662434e-10,5.466198234304253320e-03,5.607635573431988228e-03,5.387072118686369038e+00,5.613555447386076480e+00,6.046113758230347912e+00
6.799999999999999822e+00,9.937110190477088044e-10,6.106314934636884219e-03,6.289714498889431571e-03,5.284902459027307486e+00,5.477629489949876529e+00,5.882884925486131067e+00
6.849999999999999645e+00,9.929462708586139916e-10,6.816979746517807560e-03,7.054462687984299797e-03,5.193119229186521579e+00,5.340679595623768705e+00,5.713538155576259214e+00
6.900000000000000355e+00,9.920889098973017401e-10,7.606294165788285433e-03,7.911823649296637409e-03,5.118815622296935430e+00,5.224738297597312453e+00,5.553986769566620296e+00
6.950000000000000178e+00,9.911278163397705366e-10,8.482682120104870563e-03,8.872917206827798942e-03,5.061098693034303153e+00,5.147917169759246292e+00,5.434686001400152122e+00
7.000000000000000000e+00,9.900505599968558049e-10,9.456000591371138686e-03,9.950173549742499443e-03,5.010683759445598184e+00,5.090335717927850112e+00,5.349562706158572212e+00
