# log_age,stellar_mass,formed_mass,SDSS_u,SDSS_g,SDSS_r
8.300000000000000711e+00,7.395448957711474591e-01,1.000000000000000000e+00,4.136207440476340480e+00,3.235163536848936872e+00,3.237784022955331409e+00
8.349999999999999645e+00,7.348072012641481132e-01,1.000000000000000000e+00,4.279904701173578019e+00,3.324080845908795823e+00,3.318903821426587797e+00
8.400000000000000355e+00,7.300675568541582505e-01,1.000000000000000000e+00,4.426529438615766310e+00,3.415261357667240816e+00,3.394797865290662742e+00
8.449999999999999289e+00,7.251417527062427038e-01,1.000000000000000000e+00,4.568824424712332188e+00,3.506348407805738532e+00,3.467574295175772647e+00
8.500000000000000000e+00,7.188144362824928635e-01,1.000000000000000000e+00,4.713288562205740106e+00,3.603707773414953408e+00,3.548785221124809652e+00
8.550000000000000711e+00,7.149441644578918842e-01,1.000000000000000000e+00,4.853645190505410767e+00,3.705260288284570436e+00,3.628472715379231772e+00
8.599999999999999645e+00,7.100246135925544211e-01,1.000000000000000000e+00,4.992974144525234692e+00,3.812589156881095676e+00,3.712445009496569526e+00
8.650000000000000355e+00,7.050585592092831755e-01,1.000000000000000000e+00,5.134038659599404752e+00,3.922312956359270686e+00,3.797624446063537107e+00
8.699999999999999289e+00,7.000547222574947659e-01,1.000000000000000000e+00,5.281671522843268463e+00,4.035566690493688213e+00,3.879766827497775239e+00
8.750000000000000000e+00,6.945694814870440048e-01,1.000000000000000000e+00,5.434358919026891499e+00,4.157291876926052510e+00,3.968527324163837022e+00
8.800000000000000711e+00,6.895270379190551191e-01,1.000000000000000000e+00,5.581592682455713827e+00,4.284614386610805070e+00,4.062080878618495206e+00
8.849999999999999645e+00,6.844586760945066128e-01,1.000000000000000000e+00,5.721348654228791020e+00,4.414661957128060976e+00,4.153261128405418390e+00
8.900000000000000355e+00,6.793522017098282406e-01,1.000000000000000000e+00,5.858417965192401766e+00,4.545686810102267827e+00,4.237013203532988825e+00
8.949999999999999289e+00,6.734042302836890093e-01,1.000000000000000000e+00,5.994250012586654464e+00,4.677118180327504149e+00,4.327005215079417155e+00
9.000000000000000000e+00,6.682316533652427060e-01,1.000000000000000000e+00,6.129272236147258468e+00,4.810082614883192775e+00,4.415315144526395841e+00
9.050000000000000711e+00,6.633323825595590639e-01,1.000000000000000000e+00,6.263852456447885686e+00,4.939738147656044021e+00,4.500207752215381163e+00
9.099999999999999645e+00,6.576329974433762215e-01,1.000000000000000000e+00,6.395390823837999505e+00,5.031941344831011520e+00,4.520512953049049543e+00
9.150000000000000355e+00,6.521658266007195337e-01,1.000000000000000000e+00,6.523838077833993054e+00,5.105959286010353537e+00,4.531993693290154113e+00
9.199999999999999289e+00,6.406684650029951245e-01,1.000000000000000000e+00,6.751070861710509519e+00,5.355073254715520648e+00,4.774786283057522951e+00
9.250000000000000000e+00,6.354101405324302787e-01,1.000000000000000000e+00,6.922094838970714648e+00,5.513661067740471822e+00,4.912349374352018572e+00
9.300000000000000711e+00,6.301124164655079740e-01,1.000000000000000000e+00,7.089876065414991047e+00,5.665889376137371869e+00,5.044953451906351916e+00
9.349999999999999645e+00,6.251961096240150617e-01,1.000000000000000000e+00,7.250364867062771168e+00,5.799053195640027525e+00,5.153475904295127918e+00
9.400000000000000355e+00,6.205321294082239980e-01,1.000000000000000000e+00,7.410476903228001788e+00,5.928735413387698827e+00,5.260620671352320699e+00
9.449999999999999289e+00,6.159797079265096897e-01,1.000000000000000000e+00,7.580719937564552424e+00,6.065476270271034309e+00,5.372566735210256184e+00
9.500000000000000000e+00,6.112924344640148222e-01,1.000000000000000000e+00,7.745652105749343264e+00,6.191541858285837918e+00,5.475479732500986074e+00
9.550000000000000711e+00,6.069746805578097870e-01,1.000000000000000000e+00,7.894509585257907247e+00,6.310728072826108814e+00,5.577112173242632309e+00
9.599999999999999645e+00,6.027420674439123438e-01,1.000000000000000000e+00,8.041938148964000277e+00,6.433986089410971942e+00,5.687535945822901340e+00
9.650000000000000355e+00,5.985095197757230867e-01,1.000000000000000000e+00,8.135126756861190245e+00,6.525475935292561758e+00,5.776916992469317336e+00
9.699999999999999289e+00,5.945235855987477391e-01,1.000000000000000000e+00,8.271777791722598749e+00,6.633767221899070421e+00,5.869288737392025723e+00
9.750000000000000000e+00,5.905915188149777340e-01,1.000000000000000000e+00,8.413728553970209134e+00,6.748268848689981780e+00,5.969410887101581409e+00
9.800000000000000711e+00,5.868057604945763339e-01,1.000000000000000000e+00,8.567828128696724832e+00,6.904326884873633219e+00,6.127951002731421681e+00
9.849999999999999645e+00,5.834147668691003208e-01,1.000000000000000000e+00,8.699921199965402252e+00,7.012051834519070326e+00,6.224121194356250442e+00
9.900000000000000355e+00,5.800681756537778844e-01,1.000000000000000000e+00,8.840365005590932412e+00,7.124684303704782451e+00,6.324711832005817769e+00
9.949999999999999289e+00,5.767789331174827394e-01,1.000000000000000000e+00,8.983536084281027456e+00,7.231041823893889386e+00,6.415256002484134967e+00
1.000000000000000000e+01,5.735199002096039722e-01,1.000000000000000000e+00,9.131006394160877448e+00,7.341569103456393464e+00,6.511229900948833915e+00
1.005000000000000071e+01,5.703205135281301796e-01,1.000000000000000000e+00,9.279565789207069315e+00,7.449428010746096618e+00,6.604154144734458498e+00
1.009999999999999964e+01,5.671684891274461071e-01,1.000000000000000000e+00,9.437185286446535315e+00,7.562634946934402080e+00,6.701330889166406735e+00
1.015000000000000036e+01,5.640871769478673636e-01,1.000000000000000000e+00,9.592476905794150355e+00,7.671566814850883986e+00,6.794221077155114585e+00
