objID,specobjID,z,zErr,petroMag_u,petroMagErr_u,extinction_u,petroMag_g,petroMagErr_g,extinction_g,petroMag_r,petroMagErr_r,extinction_r,petroMag_i,petroMagErr_i,extinction_i,petroMag_z,petroMagErr_z,extinction_z
588015507671548109,113657200873832448,0.235533,0,20.700394,0.472118,0.144894,19.249609,0.066492,0.106612,17.752821,0.025501,0.077324,17.281456,0.026544,0.058632,17.033649,0.057306,0.041571
588015507671548194,113657200894803968,0.212615,0,20.711964,0.753603,0.144579,18.782215,0.06876,0.10638,17.572866,0.036119,0.077156,17.178766,0.040436,0.058505,16.796091,0.073402,0.041481
588015507671613579,113657200739614720,0.081523,0,18.875744,0.132316,0.147012,17.339115,0.017473,0.10817,16.630154,0.014343,0.078454,16.144297,0.012156,0.059489,15.879861,0.029785,0.042179
588015507671613626,113657200731226112,0.04203,0,17.134901,0.058735,0.140614,15.48127,0.017537,0.103463,14.613186,0.017106,0.07504,14.178321,0.014404,0.0569,13.863806,0.013319,0.040343
588015507671679034,113657200706060288,0.043369,0,20.105087,0.205531,0.14247,18.462696,0.023068,0.104828,17.582142,0.011583,0.07603,17.117222,0.01401,0.057651,16.78709,0.033239,0.040875
588015507671679075,113657200391487488,0.118242,0,19.489607,0.079437,0.129065,17.806633,0.010567,0.094965,16.939232,0.007138547,0.068877,16.562572,0.007584515,0.052227,16.285982,0.015632,0.03703
588015507671679083,113657200374710272,0.042597,0,17.889397,0.06875,0.128173,16.809555,0.013576,0.094309,16.43783,0.010217,0.0684,16.331657,0.022873,0.051866,16.308096,0.072046,0.036774
588015507671875734,113657200215326720,0.080136,0,19.336298,0.094136,0.130197,17.415915,0.019136,0.095798,16.513414,0.017748,0.069481,16.091888,0.017637,0.052685,15.803361,0.019789,0.037354
588015507671875805,113657200399876096,0.208477,0,18.933256,0.115245,0.13985,18.14422,0.028235,0.102901,17.367579,0.013876,0.074632,16.978439,0.019061,0.056591,16.776825,0.055063,0.040124
588015507671941242,113657200236298240,0.209512,0,25.589622,8.479331,0.134333,19.459099,0.227079,0.098841,18.055744,0.213405,0.071688,17.430946,0.144248,0.054359,17.287647,0.218979,0.038541
588015507671941273,113657200269852672,0.117296,0,18.511824,0.073461,0.140186,17.534698,0.015851,0.103148,16.999294,0.011027,0.074811,16.652342,0.014306,0.056727,16.624748,0.044791,0.04022
588015507672072220,113657199913336832,0.043166,0,17.358994,0.04563,0.164517,15.523031,0.004976222,0.12105,14.640064,0.00347157,0.087796,14.213228,0.003591986,0.066573,13.903576,0.006901505,0.047201
588015507672072273,113657200043360256,0.04495,0,18.76125,0.117612,0.162157,17.15757,0.013692,0.119314,16.379705,0.008193758,0.086536,16.0138,0.009533193,0.065618,15.762947,0.025597,0.046524
588015507672072288,113657200085303296,0.043498,0,17.274969,0.033553,0.167527,15.884148,0.006649178,0.123265,15.190079,0.005117324,0.089402,14.817522,0.005635475,0.067791,14.583483,0.009782256,0.048065
588015507672072293,113657200089497600,0.042083,0,19.585674,0.071289,0.163775,17.67642,0.007219601,0.120504,16.823784,0.004273968,0.087399,16.426659,0.004584036,0.066272,16.117884,0.010918,0.046988
588015507672072297,113657200097886208,0.124404,0,20.568682,0.380556,0.16625,18.47171,0.03848,0.122325,17.508419,0.027366,0.08872,17.14463,0.02946,0.067274,16.912983,0.046872,0.047698
588015507672072308,113657199917531136,0.041818,0,19.508808,0.11059,0.166166,17.711737,0.018047,0.122263,16.896935,0.013994,0.088675,16.505613,0.014091,0.06724,16.205414,0.021212,0.047674
588015507672072320,113657199925919744,0.041498,0,19.041328,0.076822,0.153783,17.457952,0.012497,0.113152,16.624437,0.008456778,0.082067,16.238983,0.00931185,0.062229,15.907795,0.016319,0.044121
588015507672072326,113657199934308352,0.041196,0,19.443241,0.153818,0.156948,17.429274,0.012674,0.115481,16.615694,0.007172179,0.083756,16.23003,0.008304476,0.06351,15.959924,0.02141,0.045029
588015507672072331,113657199900753920,0.042348,0,18.106779,0.062966,0.154061,16.223392,0.014368,0.113357,15.342113,0.011578,0.082216,14.922025,0.01471,0.062342,14.60701,0.01274,0.044201
588015507672137770,113657199942696960,0.042491,0,28.56839,1.929802,0.140963,18.49246,0.454592,0.103719,17.736809,1.024856,0.075226,16.982361,1.331637,0.057042,20.67893,12.425473,0.040443
588015507672137802,113657199921725440,0.043196,0,18.66437,0.050584,0.140233,16.757717,0.037669,0.103182,16.142567,0.041673,0.074836,15.138795,0.014656,0.056746,15.175617,0.036576,0.040234
588015507672137849,113657199904948224,0.041692,0,19.016695,0.097746,0.145324,17.299067,0.045683,0.106928,16.512583,0.040611,0.077553,16.14278,0.038997,0.058806,15.880186,0.038468,0.041694
588015507672137888,113657199883976704,0.042117,0,19.06498,0.05566,0.145601,17.253437,0.00646114,0.107132,16.410479,0.004404015,0.077701,16.008577,0.004525582,0.058918,15.700244,0.009475389,0.041774
588015507672137908,113657199909142528,0.043596,0,19.212214,0.070388,0.143187,17.37067,0.013892,0.105356,16.559837,0.013021,0.076413,16.173521,0.013136,0.057941,15.883093,0.016982,0.041081
588015507672137942,113657199879782400,0.041322,0,19.558363,0.113151,0.139623,18.056295,0.015213,0.102733,17.270107,0.00901005,0.074511,16.877979,0.010121,0.056499,16.604534,0.025859,0.040059
588015507672137956,113657199888171008,0.101705,0,19.643255,0.180026,0.13932,18.229342,0.025143,0.102511,17.224463,0.013204,0.074349,16.823257,0.015781,0.056377,16.451349,0.036537,0.039972
588015507672137965,113938422632022016,0.136914,0,19.292652,0.115117,0.14455,17.790911,0.014919,0.106359,17.024414,0.012507,0.07714,16.592625,0.009643293,0.058493,16.351974,0.02598,0.041472
588015507672137982,113938422468444160,0.101914,0,19.484621,0.154858,0.143799,17.868896,0.017796,0.105806,17.112944,0.010394,0.076739,16.733179,0.01218,0.058189,16.542154,0.035736,0.041257
588015507672203483,113938422451666944,0.042805,0,18.186159,0.089403,0.144803,16.245178,0.007713519,0.106545,15.35793,0.003966375,0.077275,14.952187,0.004673554,0.058596,14.65482,0.011891,0.041545
588015507672203510,113938422485221376,0.040574,0,18.750658,0.108879,0.146672,17.251917,0.014386,0.10792,16.469557,0.008331121,0.078273,16.116461,0.010103,0.059352,15.926394,0.02804,0.042081
588015507672203547,113938422455861248,0.041663,0,18.836597,0.094322,0.147079,17.986908,0.022051,0.108219,17.575102,0.016323,0.078489,17.366907,0.023563,0.059516,17.374319,0.082644,0.042198
588015507672268954,113938422522970112,0.043985,0,19.794725,0.159486,0.146011,18.32218,0.021307,0.107433,17.577478,0.013011,0.077919,17.247414,0.017401,0.059084,17.000181,0.042508,0.041891
588015507672334532,113938422346809344,0.130587,0,19.200464,0.110126,0.139913,17.961769,0.018396,0.102947,17.323593,0.011894,0.074666,16.964314,0.014677,0.056617,16.807825,0.043977,0.040142
588015507672334557,113938422292283392,0.129945,0,20.898958,0.773892,0.137039,18.16848,0.026917,0.100832,17.217733,0.013444,0.073132,16.790356,0.014514,0.055454,16.58256,0.040758,0.039317
588015507672399988,113938422304866304,0.102747,0,20.516691,0.323277,0.134441,18.514212,0.026803,0.098921,17.587471,0.015937,0.071746,17.127306,0.016959,0.054402,16.887428,0.039857,0.038572
588015507672400010,113938422279700480,0.162561,0,20.194519,0.196863,0.134669,18.413521,0.039638,0.099088,17.292421,0.031316,0.071867,16.8514,0.031767,0.054494,16.470282,0.034505,0.038637
588015507672400024,113938422355197952,0.042873,0,18.610065,0.115657,0.134485,16.787739,0.023181,0.098953,15.863009,0.023334,0.071769,15.401175,0.026349,0.05442,15.054747,0.021682,0.038585
588015507672400065,113938422351003648,0.11224,0,19.174816,0.068374,0.142097,18.0261,0.013142,0.104554,17.634106,0.012148,0.075831,17.391129,0.016896,0.057501,17.304827,0.045335,0.040769
588015507672465574,113938421952544768,0.154266,0,20.110739,0.201332,0.145741,18.231438,0.019352,0.107235,17.142223,0.012827,0.077775,16.708124,0.012901,0.058975,16.378477,0.024465,0.041814
588015507672531094,113938421960933376,0.129942,0,19.086515,0.103373,0.14156,17.949509,0.018474,0.104159,17.259958,0.011509,0.075544,16.893927,0.013853,0.057283,16.778727,0.043616,0.040614
588015507672596591,113938421994487808,0.16324,0,19.482489,0.178734,0.152105,17.921679,0.021573,0.111917,16.921824,0.01019,0.081172,16.517151,0.011826,0.06155,16.337671,0.034592,0.04364
588015507672596607,113938421809938432,0.070725,0,20.080828,0.113755,0.172663,18.362362,0.019659,0.127044,17.490005,0.015974,0.092143,17.095217,0.017497,0.069869,16.786213,0.024623,0.049538
588015507672596635,113938421788966912,0.193806,0,19.471319,0.176582,0.171401,18.598637,0.039572,0.126115,17.661837,0.020373,0.091469,17.230932,0.02278,0.069358,17.004999,0.062783,0.049176
588015507672662114,113938421797355520,0.040865,0,19.062815,0.062027,0.18002,18.051628,0.0135,0.132457,17.80477,0.015131,0.096069,17.619368,0.017493,0.072846,17.455042,0.049818,0.051649
588015507672662173,113938421814132736,0.194705,0,19.541706,0.147941,0.18774,18.824993,0.056066,0.138137,17.663208,0.031772,0.100189,17.126945,0.027305,0.07597,16.908348,0.04466,0.053864
588015507672662184,113938421793161216,0.171445,0,19.438467,0.115609,0.183866,17.93256,0.017422,0.135287,17.02412,0.013016,0.098121,16.648064,0.012886,0.074402,16.395653,0.027989,0.052752
588015507672793194,113938421679915008,0.064924,0,18.818075,0.145473,0.192385,17.100439,0.016724,0.141555,16.506372,0.018893,0.102668,16.200609,0.015636,0.07785,16.117626,0.044843,0.055196
588015507672793204,113938421663137792,0.11282,0,19.603745,0.148031,0.182901,17.547176,0.02233,0.134577,16.531151,0.02351,0.097606,16.100403,0.022825,0.074012,15.752038,0.025872,0.052475
588015507672858635,113938421621194752,0.042301,0,18.011734,0.044198,0.175771,16.418076,0.022301,0.129331,15.676907,0.023301,0.093801,15.338488,0.02522,0.071127,15.063716,0.023184,0.05043
588015507672858743,113938421658943488,0.035609,0,19.181517,0.054772,0.178923,18.299971,0.012844,0.13165,18.046026,0.011829,0.095483,17.805271,0.015396,0.072402,17.611111,0.043351,0.051334
588015507672924356,113938421612806144,0.086466,0,19.28952,0.110515,0.183253,17.518484,0.013877,0.134836,16.629597,0.012999,0.097794,16.199867,0.01374,0.074155,15.902109,0.019155,0.052576
588015507672924360,113938421440839680,0.165187,0,19.835804,0.187991,0.181324,18.15748,0.025699,0.133416,17.001562,0.017305,0.096765,16.556547,0.015608,0.073374,16.15028,0.026756,0.052023
588015507672989823,113938421474394112,0.171185,0,20.939095,0.400722,0.185548,18.903824,0.037516,0.136524,17.717121,0.020523,0.099019,17.243809,0.020648,0.075083,16.961018,0.037205,0.053235
588015507672989840,113938421453422592,0.17532,0,20.169989,0.3252,0.187719,18.429852,0.035058,0.138122,17.169014,0.013987,0.100177,16.672392,0.015795,0.075961,16.454084,0.036293,0.053858
588015507672989859,113938421457616896,0.176675,0,20.71932,0.405738,0.18934,18.782522,0.034101,0.139314,17.501808,0.088334,0.101042,17.032055,0.021153,0.076617,16.722887,0.03842,0.054323
588015507672989863,113938421466005504,0.174444,0,20.282503,0.411179,0.182997,18.118143,0.03622,0.134648,16.866261,0.028674,0.097658,16.404081,0.027624,0.074051,16.065123,0.036366,0.052503
588015507672989889,113938421470199808,0.098283,0,19.031981,0.10182,0.169716,17.424358,0.013558,0.124875,16.489632,0.008674383,0.09057,16.063643,0.00923599,0.068676,15.76811,0.018369,0.048692
588015507673055417,114219914805379072,0.176293,0,20.919319,0.45188,0.162936,18.873476,0.037994,0.119886,17.729261,0.018749,0.086952,17.296574,0.02329,0.065933,17.032866,0.044103,0.046747
588015507673055447,114219914796990464,0.173111,0,19.607859,0.321878,0.156769,17.977318,0.03699,0.115349,17.017265,0.015767,0.083661,16.635885,0.020932,0.063437,16.511137,0.063512,0.044978
588015507673055460,114219914801184768,0.173075,0,20.912739,0.455993,0.159345,18.669981,0.03012,0.117244,17.467813,0.011756,0.085035,16.958296,0.012455,0.06448,16.673018,0.031931,0.045717
588015507673120915,114219914625024000,0.17322,0,20.760122,0.548733,0.151548,18.467791,0.048445,0.111508,17.275724,0.031409,0.080875,16.82822,0.03418,0.061325,16.411234,0.045124,0.04348
